ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-08-02,26.508955701025464,8.091204383268296,48.131024486932205,26.508955701025464,26.508955701025464,1.581552770236329,1.581552770236329,1.581552770236329,0.5198603558823838,0.5198603558823838,0.5198603558823838,1.0616924143539443,1.0616924143539443,1.0616924143539443,0.0,0.0,0.0,28.090508471261792
2023-08-03,26.52256919955689,9.542937538709372,47.58114653027433,26.52256919955689,26.52256919955689,1.4488023245981632,1.4488023245981632,1.4488023245981632,0.495049185170239,0.495049185170239,0.495049185170239,0.953753139427925,0.953753139427925,0.953753139427925,0.0,0.0,0.0,27.971371524155053
2023-08-04,26.536182698088314,8.997959098014155,47.542755166225284,26.536182698088314,26.536182698088314,1.2645644267274954,1.2645644267274954,1.2645644267274954,0.410963865013566,0.410963865013566,0.410963865013566,0.8536005617139293,0.8536005617139293,0.8536005617139293,0.0,0.0,0.0,27.80074712481581
2023-08-07,26.577023193682592,8.513774838669407,45.0311948870507,26.577023193682592,26.577023193682592,0.9628679124684519,0.9628679124684519,0.9628679124684519,0.35091698866686777,0.35091698866686777,0.35091698866686777,0.6119509238015841,0.6119509238015841,0.6119509238015841,0.0,0.0,0.0,27.539891106151043
2023-08-08,26.59063669221402,8.644984685696274,46.45684498869142,26.59063669221402,26.59063669221402,0.9914862013618987,0.9914862013618987,0.9914862013618987,0.43760762624527894,0.43760762624527894,0.43760762624527894,0.5538785751166194,0.5538785751166194,0.5538785751166194,0.0,0.0,0.0,27.582122893575917
2023-08-09,26.604250190745443,8.549180974908696,46.252819174128724,26.604250190745443,26.604250190745443,1.0277017085735207,1.0277017085735207,1.0277017085735207,0.5198603558822094,0.5198603558822094,0.5198603558822094,0.507841352691311,0.507841352691311,0.507841352691311,0.0,0.0,0.0,27.631951899318963
2023-08-10,26.61786368925491,9.127942313863802,45.61435779384129,26.61786368925491,26.61786368925491,0.9689612575307941,0.9689612575307941,0.9689612575307941,0.49504918517004337,0.49504918517004337,0.49504918517004337,0.47391207236075045,0.47391207236075045,0.47391207236075045,0.0,0.0,0.0,27.586824946785704
2023-08-11,26.63147718776438,7.356306084947847,45.80924335742471,26.63147718776438,26.63147718776438,0.8628561441727044,0.8628561441727044,0.8628561441727044,0.41096386501249255,0.41096386501249255,0.41096386501249255,0.4518922791602119,0.4518922791602119,0.4518922791602119,0.0,0.0,0.0,27.49433333193708
2023-08-14,26.672317683292775,8.528340374649728,46.8042859796812,26.672317683292775,26.672317683292775,0.8023598744677732,0.8023598744677732,0.8023598744677732,0.3509169886690058,0.3509169886690058,0.3509169886690058,0.4514428857987676,0.4514428857987676,0.4514428857987676,0.0,0.0,0.0,27.474677557760547
2023-08-15,26.68593118180224,8.356193462522949,45.84323859430168,26.68593118180224,26.68593118180224,0.9076586127194681,0.9076586127194681,0.9076586127194681,0.43760762624605704,0.43760762624605704,0.43760762624605704,0.47005098647341104,0.47005098647341104,0.47005098647341104,0.0,0.0,0.0,27.59358979452171
2023-08-16,26.699544680311707,10.182637774016944,46.51804972171756,26.699544680311707,26.699544680311707,1.0158474792736505,1.0158474792736505,1.0158474792736505,0.5198603558822965,0.5198603558822965,0.5198603558822965,0.4959871233913541,0.4959871233913541,0.4959871233913541,0.0,0.0,0.0,27.715392159585356
2023-08-17,26.71315817882117,8.521140604311862,47.22190270470179,26.71315817882117,26.71315817882117,1.0228372841166284,1.0228372841166284,1.0228372841166284,0.4950491851698478,0.4950491851698478,0.4950491851698478,0.5277880989467807,0.5277880989467807,0.5277880989467807,0.0,0.0,0.0,27.7359954629378
2023-08-18,26.726771677330635,9.253898475934117,48.49383255631356,26.726771677330635,26.726771677330635,0.9748485613764063,0.9748485613764063,0.9748485613764063,0.4109638650124427,0.4109638650124427,0.4109638650124427,0.563884696363964,0.563884696363964,0.563884696363964,0.0,0.0,0.0,27.70162023870704
