ticker,smape,winsorized_pct
APLS,0.18364858953979213,0.2913472070098576
IOO,0.05030804192951522,0.5674120355146334
SCHV,0.10204842610692261,0.5773060796645703
FLDR,0.0059168095521315795,0.6760143198090692
NDMO,0.04547847386413628,0.560106856634016
XMTR,0.1471709889621767,0.29605263157894735
MNDY,0.09502399760632861,0.265658747300216
VMEO,0.3501749286355419,0.2928647497337593
VLUE,0.04561979479104557,0.5337588176016124
FLCB,0.033739059417839425,0.5720588235294117
MEGEF,0.13974329612710312,0.2913679380556352
CLIP,0.0013234436010202068,0.9301204819277108
DOYU,1.6833038875981197,0.2896797153024911
CORT,0.1809200188896175,0.2856053384175405
TECS,1.7657590411123374,0.37604731394775753
VGLT,0.06682306450336757,0.5115667718191378
PPH,0.04328877888993715,0.5194475313541832
JMST,0.0032583215620813713,0.6738035264483627
