ticker,volatility,avg_price,len,rmse_standard,rmse_tuned,winsorized_pct
SGBX,High,213.9744524068196,1921,19.781878950676138,13.852602552457338,0.3144195731389901
MUST,Low,19.52897599741713,1593,0.4200084472187675,0.45898971820380324,0.6013810420590081
SUI,Medium-Low,43.20034325725944,7847,22.68820441966309,20.210563849432095,0.3805275901618453
QNCX,High,20.69138855346735,1449,4.879776664816864,2.5330246793536886,0.31746031746031744
FOXA,Medium-Low,33.16786833641513,1490,10.868206163947928,9.230551112498075,0.3711409395973154
XOM,Medium-Low,21.23781740734712,15885,15.812516530844205,6.096891556218591,0.3653131885426503
INVA,Medium,15.385383737967006,5122,1.6675318740848215,1.5841126762293307,0.37172979304959003
AIXI,High,21.410743821258382,484,6.364570287679907,2.444898734235948,0.28512396694214875
CMA,Medium-Low,22.957253921974463,11320,23.294389348778143,8.332650253369476,0.37358657243816257
WU,Medium-Low,12.173282712052911,4620,1.1648044569159484,1.6918776511328408,0.3722943722943723
EFV,Medium-Low,35.59840384230694,4911,2.8871607792126763,2.906921713412671,0.4054164121360212
HIGH,Low,22.3489673308261,573,0.6073875805682677,0.19555100850112525,0.6719022687609075
WEX,Medium-Low,102.0320998597842,5029,32.06422944961528,26.877303085691004,0.4149930403658779
DEO,Medium-Low,62.90315531992045,8541,14.400755605225212,7.836047752381946,0.3819224915115326
ANGO,Medium,15.929696692915105,5209,6.531181883495017,3.2870596992134464,0.36225763102322905
HOMB,Medium-Low,13.093558982125884,4689,5.01317464274425,3.1702271533700266,0.37513329068031565
DCOM,Medium-Low,16.200295256318498,6562,12.280207504690845,5.955190026352995,0.3247485522706492
SAH,Medium,20.537716224828756,6854,10.530479183868827,4.780455000045216,0.3889699445579224
NEAR,Low,43.06891239127539,2857,4.072535467076126,3.903828360284599,0.6821841092054602
CALX,Medium,19.52600909565072,3746,14.536031741489651,5.896229775765173,0.3561131873998932
OEC,Medium,18.049786943372425,2654,3.945617136706159,3.746277187292662,0.38281838733986434
IVOL,Low,21.546437702732955,1446,0.9886481092137042,0.8472709505895211,0.46473029045643155
FCPT,Medium-Low,20.26163148306243,2327,2.546082663659447,2.4370176467114164,0.3717232488182209
SNCY,Medium,20.71652751347684,982,6.389195956971938,4.180211886994053,0.37372708757637474
BLV,Low,60.75748868180765,4491,5.230621017884567,4.861912308634855,0.522600757069695
XLU,Low,30.5716830540066,6575,18.097775626727906,8.184847611549031,0.5415969581749049
STIP,Low,84.68171733151834,3569,1.328114231720319,1.350446169082195,0.5250770523956291
PGF,Medium-Low,10.876655943195242,4577,1.5824418834622953,1.4118112573953527,0.4321608040201005
WJRYY,Medium-Low,26.564402970474323,3534,1.999839463961513,1.7669616563616923,0.35370684776457273
GMNI,High,17351.21001864425,5883,0.0365447367621727,0.03403555622585454,0.13479517253102158
STRL,High,14.43581202369008,8458,37.47935370056511,36.649156921636425,0.23386143296287537
FAF,Medium-Low,35.428525478775434,3700,3.959440076696415,3.616137734979923,0.40054054054054056
BSY,Medium-Low,46.11768911711317,1102,9.552419987406576,3.1399944368307144,0.3484573502722323
ETNB,High,15.5126856202429,1320,4.310157624084313,5.700585706442894,0.2924242424242424
HPE,Medium-Low,12.832848493532904,2343,4.16454060484448,2.672333751553763,0.3700384122919334
FTDR,Medium,38.36116623109387,1612,7.720128835306007,7.669368656015193,0.3964019851116625
DY,Medium,31.372422320227283,10254,67.26648659329514,47.74247918294501,0.35527598985761655
MUB,Low,87.85559083075181,4385,1.9764720583186772,2.037493819764822,0.5771949828962372
VGIT,Low,53.94061992310432,3828,1.7187023303365845,1.7167143712724202,0.5276907001044933
SGRY,Medium-High,24.49426782151434,2356,12.899491409836871,12.682033956184288,0.3034804753820034
SE,Medium-High,89.88214484283829,1837,47.64366476878367,47.053258153244045,0.3282525857376157
XLP,Low,32.44532621652001,6575,9.884793597738462,4.988347087274228,0.535361216730038
ARMN,High,53.65521349538192,3608,1.690115538775714,1.4424644286112485,0.2635809312638581
MRNA,Medium-High,114.15494197887216,1553,62.38242980137775,53.33634757229746,0.3296844816484224
APP,Medium-High,72.54825874871871,962,134.6889347491866,141.8650617026927,0.3523908523908524
RDCM,High,10.19341644652958,6888,2.834670565476486,2.4134450508110024,0.2587108013937282
ENGN,High,10.105102618117082,760,3.946341768249054,2.838108271697308,0.2578947368421053
AOR,Low,35.33591327849467,4082,3.2002246647718318,2.7442969160160593,0.567123958843704
PED,High,1424.919461002034,5481,0.8203746164193155,0.8015264027608955,0.23535851122058019
BBW,Medium-High,12.18764755976889,5105,5.865543606989509,4.7271756318357285,0.2985308521057786
CYTK,Medium-High,23.689546832391,5230,14.707754059697168,13.951370667412842,0.27839388145315486
APM,High,44.56067852577602,1546,14.00682267428933,6.709417762295102,0.29301423027166884
GDLC,High,18.197721586438373,1311,9.169914299294629,7.667586882582476,0.3096872616323417
IGLB,Low,43.46537575085875,3817,3.207466512800344,2.9685856352455118,0.5396908566937385
ACON,High,2609.747585295276,704,1731.085985625733,302.72399831204837,0.2883522727272727
BLEG,High,1485.5038048664662,7558,11.535440644372766,11.310078345805824,0.15665519978830378
MNMD,High,10.480577002601445,2071,12.99023062661771,8.931169750938173,0.2670207629164655
SPLB,Low,19.09424619029697,4007,1.3938106457822168,1.3265007179234445,0.5313201896680808
PDPR,High,411.8485633934188,1454,263.61816433432296,169.79174182171258,0.13204951856946354
IBMP,Low,24.541249454508684,1468,0.4512236445192897,0.4260743551025001,0.5783378746594006
RXST,Medium-High,27.262432473199866,888,33.077035276848,10.577408810552594,0.2725225225225225
